date,campaign_name,platform,ad_creative_type,audience_segment,impressions,clicks,conversions,spend,revenue
03-01-2024,Campaign 1,TikTok,Video,Gen Z,7453,157,12,352.2,795.99
03-01-2024,Campaign 1,TikTok,Video,Millennials,381,16,1,19.5,54.27
03-01-2024,Campaign 1,TikTok,Video,Gen X,488,12,1,26.66,56.92
03-01-2024,Campaign 1,TikTok,Image,Gen Z,5899,115,3,221.23,269.28
03-01-2024,Campaign 1,TikTok,Image,Millennials,665,7,0,22.74,0
03-01-2024,Campaign 1,TikTok,Image,Gen X,464,8,0,19.23,0
03-01-2024,Campaign 1,TikTok,Carousel,Gen Z,2756,51,1,74.6,59.14
03-01-2024,Campaign 1,TikTok,Carousel,Millennials,880,13,1,49.62,77.72
03-01-2024,Campaign 1,TikTok,Carousel,Gen X,444,10,0,21.55,0
03-01-2024,Campaign 1,Facebook,Video,Gen Z,1054,21,1,26.2,52.04
03-01-2024,Campaign 1,Facebook,Video,Millennials,4934,243,16,116.29,1410.69
03-01-2024,Campaign 1,Facebook,Video,Gen X,2194,75,5,93.37,349.63
03-01-2024,Campaign 1,Facebook,Image,Gen Z,760,14,0,26.34,0
03-01-2024,Campaign 1,Facebook,Image,Millennials,3865,48,2,204.06,116.29
03-01-2024,Campaign 1,Facebook,Image,Gen X,2419,46,2,150.69,163.64
03-01-2024,Campaign 1,Facebook,Carousel,Gen Z,925,19,0,48.21,0
03-01-2024,Campaign 1,Facebook,Carousel,Millennials,3369,88,5,202.73,412.87
03-01-2024,Campaign 1,Facebook,Carousel,Gen X,1533,21,0,41.97,0
04-01-2024,Campaign 1,Instagram,Video,Gen Z,2773,106,8,146.05,554.16
04-01-2024,Campaign 1,Instagram,Video,Millennials,1812,54,4,82.25,338.58
04-01-2024,Campaign 1,Instagram,Video,Gen X,362,14,1,20.37,90.17
04-01-2024,Campaign 1,Instagram,Image,Gen Z,2904,38,1,141.4,78.8
04-01-2024,Campaign 1,Instagram,Image,Millennials,1561,17,0,90.77,0
04-01-2024,Campaign 1,Instagram,Image,Gen X,144,1,0,7.75,0
04-01-2024,Campaign 1,Instagram,Carousel,Gen Z,2957,35,2,135.47,182.65
04-01-2024,Campaign 1,Instagram,Carousel,Millennials,1682,26,0,42.42,0
04-01-2024,Campaign 1,Instagram,Carousel,Gen X,87,1,0,4.65,0
04-01-2024,Campaign 1,TikTok,Video,Gen Z,5243,117,6,263.39,466.11
04-01-2024,Campaign 1,TikTok,Video,Millennials,996,42,5,58.51,272.8
04-01-2024,Campaign 1,TikTok,Video,Gen X,70,3,0,1.78,0
04-01-2024,Campaign 1,TikTok,Image,Gen Z,6962,71,1,204.01,88.08
04-01-2024,Campaign 1,TikTok,Image,Millennials,495,8,0,20.87,0
04-01-2024,Campaign 1,TikTok,Image,Gen X,246,4,0,6.52,0
04-01-2024,Campaign 1,TikTok,Carousel,Gen Z,7290,126,8,480.75,794.4
04-01-2024,Campaign 1,TikTok,Carousel,Millennials,827,14,0,37,0
04-01-2024,Campaign 1,TikTok,Carousel,Gen X,133,2,0,3.69,0
04-01-2024,Campaign 1,Facebook,Video,Gen Z,826,26,2,46.71,176.72
04-01-2024,Campaign 1,Facebook,Video,Millennials,2447,96,11,120.8,1079.19
04-01-2024,Campaign 1,Facebook,Video,Gen X,1607,55,3,75.32,215.45
04-01-2024,Campaign 1,Facebook,Image,Gen Z,528,2,0,13.08,0
04-01-2024,Campaign 1,Facebook,Image,Millennials,3466,65,3,118.93,254.31
04-01-2024,Campaign 1,Facebook,Image,Gen X,2756,35,1,150.15,72.73
04-01-2024,Campaign 1,Facebook,Carousel,Gen Z,1198,28,1,67.53,95.76
04-01-2024,Campaign 1,Facebook,Carousel,Millennials,2676,77,5,116.52,405.03
04-01-2024,Campaign 1,Facebook,Carousel,Gen X,1515,20,1,61.33,61.47
05-01-2024,Campaign 1,Instagram,Video,Gen Z,1769,39,5,119.8,424.54
05-01-2024,Campaign 1,Instagram,Video,Millennials,3660,107,14,197.58,813.83
05-01-2024,Campaign 1,Instagram,Video,Gen X,328,7,1,13.72,79.06
05-01-2024,Campaign 1,Instagram,Image,Gen Z,2472,27,1,153.88,52.26
05-01-2024,Campaign 1,Instagram,Image,Millennials,1507,16,0,102.12,0
05-01-2024,Campaign 1,Instagram,Image,Gen X,476,7,0,28.84,0
05-01-2024,Campaign 1,Instagram,Carousel,Gen Z,3500,67,3,123.35,158.46
05-01-2024,Campaign 1,Instagram,Carousel,Millennials,3306,78,4,188.29,382.63
05-01-2024,Campaign 1,Instagram,Carousel,Gen X,61,1,0,3.74,0
05-01-2024,Campaign 1,TikTok,Video,Gen Z,6122,160,12,216.13,724.34
05-01-2024,Campaign 1,TikTok,Video,Millennials,474,19,2,18.55,111.36
05-01-2024,Campaign 1,TikTok,Video,Gen X,126,4,0,7.66,0
05-01-2024,Campaign 1,TikTok,Image,Gen Z,3038,59,0,178.86,0
05-01-2024,Campaign 1,TikTok,Image,Millennials,633,3,0,32.31,0
05-01-2024,Campaign 1,TikTok,Image,Gen X,267,4,0,18,0
05-01-2024,Campaign 1,TikTok,Carousel,Gen Z,6508,116,5,416.4,337.06
05-01-2024,Campaign 1,TikTok,Carousel,Millennials,332,6,0,12.08,0
05-01-2024,Campaign 1,TikTok,Carousel,Gen X,90,2,0,5.83,0
05-01-2024,Campaign 1,Facebook,Video,Gen Z,1265,27,1,64.62,67.37
05-01-2024,Campaign 1,Facebook,Video,Millennials,5134,200,14,134.7,790.22
05-01-2024,Campaign 1,Facebook,Video,Gen X,2627,98,8,143.36,472.03
05-01-2024,Campaign 1,Facebook,Image,Gen Z,949,9,0,42.11,0
05-01-2024,Campaign 1,Facebook,Image,Millennials,2984,41,0,179.72,0
05-01-2024,Campaign 1,Facebook,Image,Gen X,1340,10,0,37.91,0
05-01-2024,Campaign 1,Facebook,Carousel,Gen Z,672,18,0,25.43,0
05-01-2024,Campaign 1,Facebook,Carousel,Millennials,5468,142,8,144.95,749.43
05-01-2024,Campaign 1,Facebook,Carousel,Gen X,2439,42,0,152.06,0
06-01-2024,Campaign 1,Instagram,Video,Gen Z,4493,114,8,178.22,593.81
06-01-2024,Campaign 1,Instagram,Video,Millennials,3284,140,14,182.64,743.64
06-01-2024,Campaign 1,Instagram,Video,Gen X,399,11,1,25.38,75.58
06-01-2024,Campaign 1,Instagram,Image,Gen Z,4435,24,1,172.61,69.86
06-01-2024,Campaign 1,Instagram,Image,Millennials,3655,33,0,86.63,0
06-01-2024,Campaign 1,Instagram,Image,Gen X,165,1,0,5.51,0
06-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4584,108,7,208.57,380.42
06-01-2024,Campaign 1,Instagram,Carousel,Millennials,3103,76,4,153.66,312.89
06-01-2024,Campaign 1,Instagram,Carousel,Gen X,326,5,0,17.04,0
06-01-2024,Campaign 1,TikTok,Video,Gen Z,2938,87,12,67.94,735.2
06-01-2024,Campaign 1,TikTok,Video,Millennials,561,13,0,20.05,0
06-01-2024,Campaign 1,TikTok,Video,Gen X,461,20,1,10.89,84.85
06-01-2024,Campaign 1,TikTok,Image,Gen Z,7055,47,1,472.41,93.28
06-01-2024,Campaign 1,TikTok,Image,Millennials,572,11,0,31.85,0
06-01-2024,Campaign 1,TikTok,Image,Gen X,146,1,0,5.19,0
06-01-2024,Campaign 1,TikTok,Carousel,Gen Z,5734,168,10,182.77,868.12
06-01-2024,Campaign 1,TikTok,Carousel,Millennials,319,3,0,11.48,0
06-01-2024,Campaign 1,TikTok,Carousel,Gen X,119,3,0,5.92,0
06-01-2024,Campaign 1,Facebook,Video,Gen Z,504,18,1,16.13,84.23
06-01-2024,Campaign 1,Facebook,Video,Millennials,2809,77,9,161.31,718.04
06-01-2024,Campaign 1,Facebook,Video,Gen X,1971,75,9,54.5,832.83
06-01-2024,Campaign 1,Facebook,Image,Gen Z,1489,28,0,83.53,0
06-01-2024,Campaign 1,Facebook,Image,Millennials,3317,35,1,184.64,52.4
06-01-2024,Campaign 1,Facebook,Image,Gen X,1686,11,0,53.91,0
06-01-2024,Campaign 1,Facebook,Carousel,Gen Z,862,11,0,44.52,0
06-01-2024,Campaign 1,Facebook,Carousel,Millennials,2300,63,2,137.98,143.91
06-01-2024,Campaign 1,Facebook,Carousel,Gen X,2798,78,4,132.56,287.75
07-01-2024,Campaign 1,Instagram,Video,Gen Z,1996,53,7,80.38,540.24
07-01-2024,Campaign 1,Instagram,Video,Millennials,2843,76,7,120.66,466.49
07-01-2024,Campaign 1,Instagram,Video,Gen X,139,4,0,8.2,0
07-01-2024,Campaign 1,Instagram,Image,Gen Z,2517,40,1,171.79,87.62
07-01-2024,Campaign 1,Instagram,Image,Millennials,2534,22,0,61.61,0
07-01-2024,Campaign 1,Instagram,Image,Gen X,310,3,0,8.52,0
07-01-2024,Campaign 1,Instagram,Carousel,Gen Z,3955,106,2,161.72,179.73
07-01-2024,Campaign 1,Instagram,Carousel,Millennials,2614,38,2,145.32,164.11
07-01-2024,Campaign 1,Instagram,Carousel,Gen X,427,9,0,21.37,0
07-01-2024,Campaign 1,TikTok,Video,Gen Z,5583,189,27,166.23,2141.41
07-01-2024,Campaign 1,TikTok,Video,Millennials,728,16,1,40.69,79.65
07-01-2024,Campaign 1,TikTok,Video,Gen X,227,10,1,5.42,82.57
07-01-2024,Campaign 1,TikTok,Image,Gen Z,6897,73,0,181.45,0
07-01-2024,Campaign 1,TikTok,Image,Millennials,910,17,0,25.43,0
07-01-2024,Campaign 1,TikTok,Image,Gen X,360,2,0,13.67,0
07-01-2024,Campaign 1,TikTok,Carousel,Gen Z,5757,125,5,145.55,333.8
07-01-2024,Campaign 1,TikTok,Carousel,Millennials,979,25,1,27.39,70.73
07-01-2024,Campaign 1,TikTok,Carousel,Gen X,350,9,0,13.49,0
07-01-2024,Campaign 1,Facebook,Video,Gen Z,1276,47,2,82.16,124.82
07-01-2024,Campaign 1,Facebook,Video,Millennials,4060,141,12,261.74,817.44
07-01-2024,Campaign 1,Facebook,Video,Gen X,1031,29,2,33.49,151.52
07-01-2024,Campaign 1,Facebook,Image,Gen Z,924,17,0,38.51,0
07-01-2024,Campaign 1,Facebook,Image,Millennials,2862,22,0,105.63,0
07-01-2024,Campaign 1,Facebook,Image,Gen X,2241,18,0,72,0
07-01-2024,Campaign 1,Facebook,Carousel,Gen Z,714,12,0,35.36,0
07-01-2024,Campaign 1,Facebook,Carousel,Millennials,4745,90,4,203.42,280.15
07-01-2024,Campaign 1,Facebook,Carousel,Gen X,1850,46,1,70.36,53.78
08-01-2024,Campaign 1,Instagram,Video,Gen Z,3947,111,15,184.64,1350.56
08-01-2024,Campaign 1,Instagram,Video,Millennials,1027,25,3,54.23,154.06
08-01-2024,Campaign 1,Instagram,Video,Gen X,429,11,0,19.64,0
08-01-2024,Campaign 1,Instagram,Image,Gen Z,4952,84,1,260.1,61.91
08-01-2024,Campaign 1,Instagram,Image,Millennials,2071,41,1,123.31,98.13
08-01-2024,Campaign 1,Instagram,Image,Gen X,299,4,0,10.8,0
08-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4575,103,6,281.07,336.83
08-01-2024,Campaign 1,Instagram,Carousel,Millennials,1457,31,1,92.46,90.87
08-01-2024,Campaign 1,Instagram,Carousel,Gen X,311,4,0,15.45,0
08-01-2024,Campaign 1,TikTok,Video,Gen Z,2902,93,9,123.81,582.51
08-01-2024,Campaign 1,TikTok,Video,Millennials,676,29,1,32.81,99.27
08-01-2024,Campaign 1,TikTok,Video,Gen X,413,18,1,9.84,63.43
08-01-2024,Campaign 1,TikTok,Image,Gen Z,3799,58,1,124.31,82.25
08-01-2024,Campaign 1,TikTok,Image,Millennials,496,9,0,15.17,0
08-01-2024,Campaign 1,TikTok,Image,Gen X,87,1,0,5.19,0
08-01-2024,Campaign 1,TikTok,Carousel,Gen Z,6092,110,5,338.71,276.64
08-01-2024,Campaign 1,TikTok,Carousel,Millennials,420,5,0,26.29,0
08-01-2024,Campaign 1,TikTok,Carousel,Gen X,183,4,0,8.93,0
08-01-2024,Campaign 1,Facebook,Video,Gen Z,990,31,3,24.65,174.94
08-01-2024,Campaign 1,Facebook,Video,Millennials,2693,68,4,155.98,213.65
08-01-2024,Campaign 1,Facebook,Video,Gen X,2925,83,7,162.5,453.99
08-01-2024,Campaign 1,Facebook,Image,Gen Z,1125,21,0,74.55,0
08-01-2024,Campaign 1,Facebook,Image,Millennials,5739,47,0,199.36,0
08-01-2024,Campaign 1,Facebook,Image,Gen X,2781,49,2,82.98,162.33
08-01-2024,Campaign 1,Facebook,Carousel,Gen Z,1236,14,0,69.17,0
08-01-2024,Campaign 1,Facebook,Carousel,Millennials,2469,54,2,64.8,107.78
08-01-2024,Campaign 1,Facebook,Carousel,Gen X,1053,25,0,52.31,0
09-01-2024,Campaign 1,Instagram,Video,Gen Z,3057,135,19,179.72,1606.03
09-01-2024,Campaign 1,Instagram,Video,Millennials,3808,97,10,238.23,866.11
09-01-2024,Campaign 1,Instagram,Video,Gen X,380,16,1,19.69,99.03
09-01-2024,Campaign 1,Instagram,Image,Gen Z,4804,59,1,325.68,97.2
09-01-2024,Campaign 1,Instagram,Image,Millennials,1023,5,0,69.9,0
09-01-2024,Campaign 1,Instagram,Image,Gen X,92,1,0,5.01,0
09-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4915,60,2,290.13,174.51
09-01-2024,Campaign 1,Instagram,Carousel,Millennials,2209,59,2,133.79,103.7
09-01-2024,Campaign 1,Instagram,Carousel,Gen X,129,2,0,5.79,0
09-01-2024,Campaign 1,TikTok,Video,Gen Z,3991,132,11,195.03,992.19
09-01-2024,Campaign 1,TikTok,Video,Millennials,936,37,4,43.52,285.36
09-01-2024,Campaign 1,TikTok,Video,Gen X,103,2,0,6.43,0
09-01-2024,Campaign 1,TikTok,Image,Gen Z,7498,96,4,443.74,399.59
09-01-2024,Campaign 1,TikTok,Image,Millennials,264,4,0,11.8,0
09-01-2024,Campaign 1,TikTok,Image,Gen X,269,2,0,7.25,0
09-01-2024,Campaign 1,TikTok,Carousel,Gen Z,4717,116,3,131.24,203.19
09-01-2024,Campaign 1,TikTok,Carousel,Millennials,411,9,0,14.54,0
09-01-2024,Campaign 1,TikTok,Carousel,Gen X,342,4,0,9.75,0
09-01-2024,Campaign 1,Facebook,Video,Gen Z,1414,61,3,59.1,281.87
09-01-2024,Campaign 1,Facebook,Video,Millennials,4710,179,25,319.62,2179.19
09-01-2024,Campaign 1,Facebook,Video,Gen X,1385,37,5,72.54,401.93
09-01-2024,Campaign 1,Facebook,Image,Gen Z,1258,8,0,50.67,0
09-01-2024,Campaign 1,Facebook,Image,Millennials,3276,54,1,83.25,98.46
09-01-2024,Campaign 1,Facebook,Image,Gen X,2368,30,1,110.59,63.01
09-01-2024,Campaign 1,Facebook,Carousel,Gen Z,709,17,1,21.14,90.79
09-01-2024,Campaign 1,Facebook,Carousel,Millennials,4034,90,5,98.34,473.73
09-01-2024,Campaign 1,Facebook,Carousel,Gen X,1690,19,1,58.97,56.48
10-01-2024,Campaign 1,Instagram,Video,Gen Z,2109,102,13,125.86,1075.91
10-01-2024,Campaign 1,Instagram,Video,Millennials,1709,38,3,67.94,188.96
10-01-2024,Campaign 1,Instagram,Video,Gen X,500,10,1,33.31,55.47
10-01-2024,Campaign 1,Instagram,Image,Gen Z,1897,11,0,86.03,0
10-01-2024,Campaign 1,Instagram,Image,Millennials,2198,40,1,116.38,77.19
10-01-2024,Campaign 1,Instagram,Image,Gen X,424,6,0,26.43,0
10-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4857,132,8,295.92,678.99
10-01-2024,Campaign 1,Instagram,Carousel,Millennials,3644,44,2,114.47,188.16
10-01-2024,Campaign 1,Instagram,Carousel,Gen X,328,8,0,19.82,0
10-01-2024,Campaign 1,TikTok,Video,Gen Z,5753,154,21,131.37,1633.99
10-01-2024,Campaign 1,TikTok,Video,Millennials,544,19,0,19.5,0
10-01-2024,Campaign 1,TikTok,Video,Gen X,106,3,0,4.24,0
10-01-2024,Campaign 1,TikTok,Image,Gen Z,3003,19,0,142.49,0
10-01-2024,Campaign 1,TikTok,Image,Millennials,967,14,0,26.57,0
10-01-2024,Campaign 1,TikTok,Image,Gen X,481,7,0,14.63,0
10-01-2024,Campaign 1,TikTok,Carousel,Gen Z,6536,127,2,171.15,185.24
10-01-2024,Campaign 1,TikTok,Carousel,Millennials,896,26,2,51.04,113.01
10-01-2024,Campaign 1,TikTok,Carousel,Gen X,240,4,0,14.45,0
10-01-2024,Campaign 1,Facebook,Video,Gen Z,1475,63,7,63.57,445.77
10-01-2024,Campaign 1,Facebook,Video,Millennials,3678,177,10,226.98,763.51
10-01-2024,Campaign 1,Facebook,Video,Gen X,2422,98,7,64.3,588.17
10-01-2024,Campaign 1,Facebook,Image,Gen Z,1022,7,0,68.12,0
10-01-2024,Campaign 1,Facebook,Image,Millennials,2494,47,1,129.37,69.88
10-01-2024,Campaign 1,Facebook,Image,Gen X,1988,23,0,74.37,0
10-01-2024,Campaign 1,Facebook,Carousel,Gen Z,1092,15,0,57.32,0
10-01-2024,Campaign 1,Facebook,Carousel,Millennials,4695,91,4,141.03,240.74
10-01-2024,Campaign 1,Facebook,Carousel,Gen X,2838,72,4,173.89,352.2
11-01-2024,Campaign 1,Instagram,Video,Gen Z,4765,209,16,306.54,1574.01
11-01-2024,Campaign 1,Instagram,Video,Millennials,1263,43,2,36,168.56
11-01-2024,Campaign 1,Instagram,Video,Gen X,419,15,1,12.62,82.58
11-01-2024,Campaign 1,Instagram,Image,Gen Z,4822,43,1,178.08,72.76
11-01-2024,Campaign 1,Instagram,Image,Millennials,3083,36,1,125.81,98.73
11-01-2024,Campaign 1,Instagram,Image,Gen X,132,1,0,8.2,0
11-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4255,104,6,125.22,330.84
11-01-2024,Campaign 1,Instagram,Carousel,Millennials,2558,32,1,130.33,85.12
11-01-2024,Campaign 1,Instagram,Carousel,Gen X,406,10,0,10.57,0
11-01-2024,Campaign 1,TikTok,Video,Gen Z,3474,72,4,141.99,226.54
11-01-2024,Campaign 1,TikTok,Video,Millennials,685,17,2,41.24,104.12
11-01-2024,Campaign 1,TikTok,Video,Gen X,263,6,0,14.45,0
11-01-2024,Campaign 1,TikTok,Image,Gen Z,5958,84,2,216.86,193.52
11-01-2024,Campaign 1,TikTok,Image,Millennials,920,15,0,41.28,0
11-01-2024,Campaign 1,TikTok,Image,Gen X,153,2,0,6.65,0
11-01-2024,Campaign 1,TikTok,Carousel,Gen Z,4952,65,3,276.37,238.99
11-01-2024,Campaign 1,TikTok,Carousel,Millennials,704,13,0,26.61,0
11-01-2024,Campaign 1,TikTok,Carousel,Gen X,392,5,0,20.69,0
11-01-2024,Campaign 1,Facebook,Video,Gen Z,1308,26,2,49.62,154.25
11-01-2024,Campaign 1,Facebook,Video,Millennials,2541,100,6,136.66,321.66
11-01-2024,Campaign 1,Facebook,Video,Gen X,1991,51,6,61.15,588.23
11-01-2024,Campaign 1,Facebook,Image,Gen Z,1488,24,0,57.37,0
11-01-2024,Campaign 1,Facebook,Image,Millennials,5337,67,2,246.62,158.81
11-01-2024,Campaign 1,Facebook,Image,Gen X,1636,25,0,102.39,0
11-01-2024,Campaign 1,Facebook,Carousel,Gen Z,1398,32,2,49.94,135.92
11-01-2024,Campaign 1,Facebook,Carousel,Millennials,3857,86,4,216.72,226.31
11-01-2024,Campaign 1,Facebook,Carousel,Gen X,2795,50,2,144.22,137.28
12-01-2024,Campaign 1,Instagram,Video,Gen Z,1500,38,5,67.81,311.81
12-01-2024,Campaign 1,Instagram,Video,Millennials,3973,127,13,195.44,1080.7
12-01-2024,Campaign 1,Instagram,Video,Gen X,421,10,0,28.21,0
12-01-2024,Campaign 1,Instagram,Image,Gen Z,2126,10,0,106.45,0
12-01-2024,Campaign 1,Instagram,Image,Millennials,2687,22,0,115.33,0
12-01-2024,Campaign 1,Instagram,Image,Gen X,352,3,0,14.95,0
12-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4401,127,4,172.34,275.87
12-01-2024,Campaign 1,Instagram,Carousel,Millennials,2589,64,3,114.97,276.63
12-01-2024,Campaign 1,Instagram,Carousel,Gen X,327,6,0,15.77,0
12-01-2024,Campaign 1,TikTok,Video,Gen Z,3469,97,5,163,484.15
12-01-2024,Campaign 1,TikTok,Video,Millennials,648,25,1,20.1,54.43
12-01-2024,Campaign 1,TikTok,Video,Gen X,130,4,0,3.83,0
12-01-2024,Campaign 1,TikTok,Image,Gen Z,3119,47,0,116.97,0
12-01-2024,Campaign 1,TikTok,Image,Millennials,781,9,0,35.18,0
12-01-2024,Campaign 1,TikTok,Image,Gen X,475,3,0,13.94,0
12-01-2024,Campaign 1,TikTok,Carousel,Gen Z,2945,69,5,79.7,418.15
12-01-2024,Campaign 1,TikTok,Carousel,Millennials,937,13,1,32.26,83.08
12-01-2024,Campaign 1,TikTok,Carousel,Gen X,109,3,0,4.97,0
12-01-2024,Campaign 1,Facebook,Video,Gen Z,1335,61,7,37.32,628.43
12-01-2024,Campaign 1,Facebook,Video,Millennials,5041,203,14,266.21,975.71
12-01-2024,Campaign 1,Facebook,Video,Gen X,1546,57,4,46.43,320.99
12-01-2024,Campaign 1,Facebook,Image,Gen Z,787,15,0,49.17,0
12-01-2024,Campaign 1,Facebook,Image,Millennials,5366,50,0,281.34,0
12-01-2024,Campaign 1,Facebook,Image,Gen X,1833,27,1,105.45,89.89
12-01-2024,Campaign 1,Facebook,Carousel,Gen Z,925,25,1,33.58,82.45
12-01-2024,Campaign 1,Facebook,Carousel,Millennials,3386,55,2,138.25,169.55
12-01-2024,Campaign 1,Facebook,Carousel,Gen X,2437,51,2,116.11,144.44
13-01-2024,Campaign 1,Instagram,Video,Gen Z,4622,102,11,246.02,890.72
13-01-2024,Campaign 1,Instagram,Video,Millennials,2494,87,9,164.96,831.23
13-01-2024,Campaign 1,Instagram,Video,Gen X,364,16,0,10.75,0
13-01-2024,Campaign 1,Instagram,Image,Gen Z,3011,39,1,173.57,90.65
13-01-2024,Campaign 1,Instagram,Image,Millennials,2272,35,1,136.89,71.54
13-01-2024,Campaign 1,Instagram,Image,Gen X,217,3,0,7.34,0
13-01-2024,Campaign 1,Instagram,Carousel,Gen Z,3427,47,2,108.45,116.63
13-01-2024,Campaign 1,Instagram,Carousel,Millennials,1481,22,0,54.5,0
13-01-2024,Campaign 1,Instagram,Carousel,Gen X,195,4,0,10.8,0
